INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico,,,,,,,,,,,,,,,,,
Fecha de elaboración: 24/05/2013,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Población total por entidad federativa, sexo y grupos quinquenales de edad según tamaño de localidad",,,,,,,,,,,,,,,,,Población 2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Entidad federativa,Sexo,Grupos quinquenales de edad,Población total1,Tamaño de localidad,,,,,,,,,,,,,
,,,,1-249 habitantes,250-499 habitantes,500-999 habitantes,1 000-2 499 habitantes,2 500-4 999 habitantes,5 000-9 999 habitantes,10 000-14 999 habitantes,15 000-29 999 habitantes,30 000-49 999 habitantes,50 000-99 999 habitantes,100 000-249 999 habitantes,250 000-499 999 habitantes,500 000-999 999 habitantes,1 000 000 y más habitantes
,,,,,,,,,,,,,,,,,
01 Aguascalientes,Total,100 años y más,109,6,5,6,10,5,1,0,8,1,0,0,0,67,0
01 Aguascalientes,Total,No especificado,"4,032",159,77,131,201,155,21,31,98,146,0,0,0,"3,013",0
01 Aguascalientes,Hombres,Total,"576,638","20,064","16,116","28,014","48,715","34,860","8,608","5,688","44,662","21,189",0,0,0,"348,722",0
01 Aguascalientes,Hombres,00-04 años,"61,941","2,421","1,921","3,188","6,167","4,167","1,024",726,"5,160","2,657",0,0,0,"34,510",0
01 Aguascalientes,Hombres,05-09 años,"65,572","2,485","2,013","3,386","6,174","4,540",984,670,"5,432","2,839",0,0,0,"37,049",0
01 Aguascalientes,Hombres,10-14 años,"62,615","2,289","1,763","3,191","5,639","4,105",973,652,"5,239","2,613",0,0,0,"36,151",0
01 Aguascalientes,Hombres,15-19 años,"60,636","2,131","1,658","3,079","5,295","3,768","1,004",564,"5,050","2,378",0,0,0,"35,709",0
01 Aguascalientes,Hombres,20-24 años,"51,431","1,702","1,286","2,475","4,121","2,661",680,473,"3,972","1,874",0,0,0,"32,187",0
01 Aguascalientes,Hombres,25-29 años,"44,568","1,407","1,250","2,072","3,447","2,495",586,452,"3,269","1,595",0,0,0,"27,995",0
01 Aguascalientes,Hombres,30-34 años,"41,962","1,387","1,245","2,082","3,598","2,660",583,485,"2,977","1,514",0,0,0,"25,431",0
01 Aguascalientes,Hombres,35-39 años,"40,569","1,266","1,172","1,865","3,144","2,696",577,433,"2,928","1,550",0,0,0,"24,938",0
01 Aguascalientes,Hombres,40-44 años,"34,381",993,824,"1,483","2,568","1,955",490,315,"2,411","1,260",0,0,0,"22,082",0
01 Aguascalientes,Hombres,45-49 años,"28,420",868,687,"1,180","1,983","1,454",396,270,"2,056",813,0,0,0,"18,713",0
01 Aguascalientes,Hombres,50-54 años,"23,436",681,531,984,"1,548","1,195",325,172,"1,661",611,0,0,0,"15,728",0
01 Aguascalientes,Hombres,55-59 años,"17,960",604,432,737,"1,333",833,254,141,"1,257",457,0,0,0,"11,912",0
01 Aguascalientes,Hombres,60-64 años,"13,686",516,373,658,"1,044",677,222,101,915,336,0,0,0,"8,844",0
01 Aguascalientes,Hombres,65-69 años,"9,895",402,292,528,811,471,168,70,706,248,0,0,0,"6,199",0
01 Aguascalientes,Hombres,70-74 años,"6,967",318,216,387,671,414,122,56,582,155,0,0,0,"4,046",0
01 Aguascalientes,Hombres,75-79 años,"4,862",236,169,295,475,326,100,43,409,98,0,0,0,"2,711",0
01 Aguascalientes,Hombres,80-84 años,"3,094",128,117,181,301,215,61,28,319,56,0,0,0,"1,688",0
01 Aguascalientes,Hombres,85-89 años,"1,780",98,86,121,201,100,31,12,187,38,0,0,0,906,0
01 Aguascalientes,Hombres,90-94 años,605,44,27,38,65,32,14,7,61,15,0,0,0,302,0
01 Aguascalientes,Hombres,95-99 años,229,7,11,21,27,19,2,1,22,8,0,0,0,111,0
01 Aguascalientes,Hombres,100 años y más,45,4,5,2,5,2,0,0,4,0,0,0,0,23,0
01 Aguascalientes,Hombres,No especificado,"1,984",77,38,61,98,75,12,17,45,74,0,0,0,"1,487",0
01 Aguascalientes,Mujeres,Total,"608,358","19,719","16,124","28,054","50,601","35,909","8,874","5,901","47,825","21,823",0,0,0,"373,528",0
01 Aguascalientes,Mujeres,00-04 años,"59,616","2,377","1,829","3,160","5,683","4,047",936,619,"5,064","2,610",0,0,0,"33,291",0
01 Aguascalientes,Mujeres,05-09 años,"63,302","2,335","1,919","3,235","5,994","4,290",981,669,"5,361","2,793",0,0,0,"35,725",0
01 Aguascalientes,Mujeres,10-14 años,"61,191","2,127","1,737","3,071","5,574","3,979",929,636,"5,146","2,605",0,0,0,"35,387",0
01 Aguascalientes,Mujeres,15-19 años,"60,792","2,022","1,694","3,023","5,437","3,640",995,581,"5,112","2,423",0,0,0,"35,865",0
01 Aguascalientes,Mujeres,20-24 años,"54,874","1,814","1,445","2,635","4,718","3,056",796,558,"4,435","1,887",0,0,0,"33,530",0
01 Aguascalientes,Mujeres,25-29 años,"49,036","1,595","1,391","2,268","4,082","2,870",657,508,"3,779","1,678",0,0,0,"30,208",0
01 Aguascalientes,Mujeres,30-34 años,"46,764","1,459","1,274","2,137","3,996","3,045",637,497,"3,600","1,766",0,0,0,"28,353",0
01 Aguascalientes,Mujeres,35-39 años,"45,685","1,336","1,101","1,868","3,435","2,838",626,462,"3,245","1,700",0,0,0,"29,074",0
01 Aguascalientes,Mujeres,40-44 años,"38,703",970,817,"1,522","2,832","2,102",570,394,"2,756","1,265",0,0,0,"25,475",0
01 Aguascalientes,Mujeres,45-49 años,"31,778",815,674,"1,187","2,089","1,546",420,286,"2,226",867,0,0,0,"21,668",0
01 Aguascalientes,Mujeres,50-54 años,"26,544",678,524,"1,000","1,800","1,204",346,200,"1,938",676,0,0,0,"18,178",0
01 Aguascalientes,Mujeres,55-59 años,"19,583",549,431,763,"1,294",886,253,145,"1,354",469,0,0,0,"13,439",0
01 Aguascalientes,Mujeres,60-64 años,"15,572",458,386,590,"1,071",696,221,102,"1,108",372,0,0,0,"10,568",0
01 Aguascalientes,Mujeres,65-69 años,"11,109",376,252,485,866,473,158,81,822,262,0,0,0,"7,334",0
01 Aguascalientes,Mujeres,70-74 años,"8,287",269,221,399,583,445,135,65,689,154,0,0,0,"5,327",0
01 Aguascalientes,Mujeres,75-79 años,"5,811",175,153,275,446,306,93,41,482,104,0,0,0,"3,736",0
01 Aguascalientes,Mujeres,80-84 años,"4,134",145,126,201,317,213,57,21,340,61,0,0,0,"2,653",0
01 Aguascalientes,Mujeres,85-89 años,"2,281",85,75,107,178,120,32,18,202,38,0,0,0,"1,426",0
01 Aguascalientes,Mujeres,90-94 años,862,32,25,40,69,46,16,4,80,14,0,0,0,536,0
01 Aguascalientes,Mujeres,95-99 años,322,18,11,14,29,24,6,0,29,6,0,0,0,185,0
01 Aguascalientes,Mujeres,100 años y más,64,2,0,4,5,3,1,0,4,1,0,0,0,44,0
01 Aguascalientes,Mujeres,No especificado,"2,048",82,39,70,103,80,9,14,53,72,0,0,0,"1,526",0
02 Baja California,Total,Total,"3,155,070","61,028","32,472","55,842","93,854","83,327","108,583","50,221","198,544","70,634","130,042",0,"279,765","689,775","1,300,983"
02 Baja California,Total,00-04 años,"293,234","5,588","3,353","5,633","10,181","8,620","11,432","6,513","22,629","8,978","11,663",0,"22,763","58,834","117,047"
02 Baja California,Total,05-09 años,"303,180","5,914","3,540","6,233","10,329","8,593","11,807","5,982","21,996","8,644","12,052",0,"23,727","62,173","122,190"
02 Baja California,Total,10-14 años,"305,472","5,823","3,488","6,143","10,021","8,588","11,913","5,151","20,774","6,805","12,814",0,"25,191","62,420","126,341"
02 Baja California,Total,15-19 años,"299,195","5,727","3,175","5,256","9,657","8,157","11,083","4,543","19,760","5,078","12,827",0,"26,386","61,551","125,995"
02 Baja California,Total,20-24 años,"286,479","4,954","2,747","4,637","8,445","8,077","9,406","4,895","19,462","5,032","11,906",0,"26,352","60,372","120,194"
02 Baja California,Total,25-29 años,"265,428","4,232","2,477","4,193","7,307","7,592","8,505","5,358","18,134","7,436","10,366",0,"23,351","56,662","109,815"
02 Baja California,Total,30-34 años,"264,023","4,443","2,549","4,411","7,479","7,128","8,852","4,924","16,843","9,354","9,844",0,"22,453","56,673","109,070"
02 Baja California,Total,35-39 años,"264,063","4,435","2,468","4,494","7,221","6,597","8,762","4,029","15,581","7,675","10,036",0,"22,534","58,141","112,090"
02 Baja California,Total,40-44 años,"215,049","3,980","2,045","3,458","5,379","4,926","6,676","2,908","12,077","4,671","8,926",0,"19,799","47,066","93,138"
02 Baja California,Total,45-49 años,"171,104","3,266","1,670","2,741","4,452","3,854","5,244","2,045","9,088","2,618","7,283",0,"16,878","39,207","72,758"
02 Baja California,Total,50-54 años,"136,690","2,834","1,294","2,136","3,385","3,070","4,064","1,376","6,913","1,671","5,594",0,"14,460","33,160","56,733"
02 Baja California,Total,55-59 años,"97,874","2,281",982,"1,631","2,661","2,217","2,928",849,"4,538","1,035","4,145",0,"10,517","24,043","40,047"
02 Baja California,Total,60-64 años,"75,229","2,177",842,"1,378","2,064","1,687","2,288",526,"3,180",605,"3,412",0,"8,179","18,231","30,660"
02 Baja California,Total,65-69 años,"52,560","1,703",558,989,"1,635","1,225","1,714",379,"2,303",336,"2,369",0,"5,834","12,551","20,964"
02 Baja California,Total,70-74 años,"37,742","1,355",463,743,"1,194",886,"1,322",273,"1,670",188,"1,594",0,"4,135","9,285","14,634"
02 Baja California,Total,75-79 años,"24,055",862,284,517,792,594,798,150,945,119,"1,031",0,"2,748","5,995","9,220"
02 Baja California,Total,80-84 años,"14,744",489,147,327,458,357,503,72,560,57,605,0,"1,639","3,799","5,731"
02 Baja California,Total,85-89 años,"7,764",250,88,165,264,186,255,61,288,26,329,0,887,"1,997","2,968"
02 Baja California,Total,90-94 años,"2,641",70,27,50,71,56,80,17,95,9,99,0,320,680,"1,067"
02 Baja California,Total,95-99 años,913,17,9,15,32,21,32,7,36,4,58,0,99,196,387
02 Baja California,Total,100 años y más,206,5,1,5,6,12,14,3,9,0,8,0,24,44,75
02 Baja California,Total,No especificado,"37,425",623,265,687,821,884,905,160,"1,663",293,"3,081",0,"1,489","16,695","9,859"
