INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico,,,,,,,,,,,,,,,,,
Fecha de elaboración: 24/05/2013,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Población total por entidad federativa, sexo y grupos quinquenales de edad según tamaño de localidad",,,,,,,,,,,,,,,,,Población 2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Entidad federativa,Sexo,Grupos quinquenales de edad,Población total1,Tamaño de localidad,,,,,,,,,,,,,
,,,,1-249 habitantes,250-499 habitantes,500-999 habitantes,1 000-2 499 habitantes,2 500-4 999 habitantes,5 000-9 999 habitantes,10 000-14 999 habitantes,15 000-29 999 habitantes,30 000-49 999 habitantes,50 000-99 999 habitantes,100 000-249 999 habitantes,250 000-499 999 habitantes,500 000-999 999 habitantes,1 000 000 y más habitantes
,,,,,,,,,,,,,,,,,
27 Tabasco,Total,80-84 años,"12,257",567,946,"1,483","2,366","1,237","1,037",328,"1,179",702,353,0,"2,059",0,0
27 Tabasco,Total,85-89 años,"7,134",309,556,895,"1,406",715,663,206,636,399,195,0,"1,154",0,0
27 Tabasco,Total,90-94 años,"2,669",114,211,321,534,269,245,91,232,155,79,0,418,0,0
27 Tabasco,Total,95-99 años,"1,297",70,105,193,264,119,102,36,118,68,45,0,177,0,0
27 Tabasco,Total,100 años y más,536,32,50,90,126,59,44,14,47,21,9,0,44,0,0
27 Tabasco,Total,No especificado,"24,978",142,221,733,"1,626","1,232","2,226",436,"2,634","1,574","1,408",0,"12,746",0,0
27 Tabasco,Hombres,Total,"1,100,758","44,035","79,610","133,538","220,369","122,304","106,443","34,291","95,398","50,891","44,158",0,"169,721",0,0
27 Tabasco,Hombres,00-04 años,"114,194","4,638","8,712","14,859","24,383","13,398","11,047","3,892","9,447","4,882","4,522",0,"14,414",0,0
27 Tabasco,Hombres,05-09 años,"114,145","4,770","9,238","15,013","24,635","13,397","11,034","3,575","9,360","4,875","4,368",0,"13,880",0,0
27 Tabasco,Hombres,10-14 años,"111,804","4,988","9,302","14,916","23,863","13,255","10,669","3,163","9,033","4,724","4,237",0,"13,654",0,0
27 Tabasco,Hombres,15-19 años,"111,911","4,681","8,916","14,398","23,545","12,826","10,420","3,219","9,311","4,976","4,322",0,"15,297",0,0
27 Tabasco,Hombres,20-24 años,"100,048","3,748","6,867","11,771","20,145","11,342","9,720","3,100","8,415","4,594","4,091",0,"16,255",0,0
27 Tabasco,Hombres,25-29 años,"87,169","3,093","5,568","9,887","16,901","9,531","8,573","3,166","7,811","3,999","3,619",0,"15,021",0,0
27 Tabasco,Hombres,30-34 años,"81,829","3,029","5,499","9,560","16,212","9,035","8,051","3,124","7,231","3,655","3,290",0,"13,143",0,0
27 Tabasco,Hombres,35-39 años,"78,148","2,922","5,303","9,083","15,113","8,723","7,869","2,628","6,998","3,750","3,142",0,"12,617",0,0
27 Tabasco,Hombres,40-44 años,"66,024","2,360","4,360","7,454","12,460","7,251","6,750","2,050","6,168","3,241","2,786",0,"11,144",0,0
27 Tabasco,Hombres,45-49 años,"57,375","2,172","3,648","6,345","10,798","6,050","5,706","1,723","5,445","2,968","2,518",0,"10,002",0,0
27 Tabasco,Hombres,50-54 años,"46,912","1,819","2,972","5,023","8,301","4,810","4,551","1,391","4,471","2,423","2,182",0,"8,969",0,0
27 Tabasco,Hombres,55-59 años,"35,982","1,560","2,524","4,154","6,698","3,610","3,457",985,"3,276","1,790","1,479",0,"6,449",0,0
27 Tabasco,Hombres,60-64 años,"25,607","1,230","1,816","3,033","4,783","2,539","2,355",636,"2,292","1,334","1,090",0,"4,499",0,0
27 Tabasco,Hombres,65-69 años,"18,954",936,"1,529","2,521","3,786","1,896","1,636",499,"1,604","1,016",690,0,"2,841",0,0
27 Tabasco,Hombres,70-74 años,"15,959",859,"1,372","2,172","3,235","1,649","1,485",371,"1,338",778,536,0,"2,164",0,0
27 Tabasco,Hombres,75-79 años,"10,617",514,839,"1,405","2,260","1,125",963,267,901,523,299,0,"1,521",0,0
27 Tabasco,Hombres,80-84 años,"6,092",341,532,807,"1,270",660,516,133,544,300,155,0,834,0,0
27 Tabasco,Hombres,85-89 años,"3,374",172,301,467,718,372,315,88,254,175,84,0,428,0,0
27 Tabasco,Hombres,90-94 años,"1,275",71,121,175,277,149,113,40,102,66,26,0,135,0,0
27 Tabasco,Hombres,95-99 años,589,42,53,89,128,46,52,21,57,24,14,0,63,0,0
27 Tabasco,Hombres,100 años y más,235,18,26,40,53,25,23,1,21,11,2,0,15,0,0
27 Tabasco,Hombres,No especificado,"12,515",72,112,366,805,615,"1,138",219,"1,319",787,706,0,"6,376",0,0
27 Tabasco,Mujeres,Total,"1,137,845","42,558","78,495","133,788","221,682","124,593","110,926","36,947","102,229","55,371","47,400",0,"183,856",0,0
27 Tabasco,Mujeres,00-04 años,"109,498","4,477","8,248","14,189","23,304","12,984","10,756","3,626","9,183","4,751","4,270",0,"13,710",0,0
27 Tabasco,Mujeres,05-09 años,"110,916","4,685","8,908","14,697","23,478","13,286","10,783","3,553","9,220","4,637","4,287",0,"13,382",0,0
27 Tabasco,Mujeres,10-14 años,"108,972","4,804","9,170","14,600","23,256","12,726","10,370","3,184","8,810","4,746","4,148",0,"13,158",0,0
27 Tabasco,Mujeres,15-19 años,"112,346","4,618","8,508","14,307","23,284","12,928","10,592","3,221","9,496","5,165","4,408",0,"15,819",0,0
27 Tabasco,Mujeres,20-24 años,"106,794","3,809","7,204","12,505","21,103","11,960","10,244","3,512","9,279","5,004","4,715",0,"17,459",0,0
27 Tabasco,Mujeres,25-29 años,"98,702","3,418","6,263","11,143","19,099","10,676","9,817","3,909","9,176","4,489","4,158",0,"16,554",0,0
27 Tabasco,Mujeres,30-34 años,"92,563","3,142","5,874","10,443","17,865","10,305","9,482","3,493","8,462","4,409","4,000",0,"15,088",0,0
27 Tabasco,Mujeres,35-39 años,"86,774","2,963","5,509","9,574","16,029","9,316","8,959","3,047","8,329","4,534","3,797",0,"14,717",0,0
27 Tabasco,Mujeres,40-44 años,"69,976","2,298","4,245","7,322","12,420","7,398","7,188","2,319","6,806","3,831","3,223",0,"12,926",0,0
27 Tabasco,Mujeres,45-49 años,"59,051","1,959","3,555","6,111","10,402","5,929","5,740","1,892","5,772","3,258","2,804",0,"11,629",0,0
27 Tabasco,Mujeres,50-54 años,"48,197","1,645","2,934","4,955","8,286","4,700","4,683","1,481","4,711","2,732","2,159",0,"9,911",0,0
27 Tabasco,Mujeres,55-59 años,"36,368","1,359","2,358","3,970","6,517","3,521","3,425","1,090","3,453","2,068","1,540",0,"7,067",0,0
27 Tabasco,Mujeres,60-64 años,"26,119","1,021","1,699","2,809","4,666","2,479","2,396",731,"2,564","1,498","1,092",0,"5,164",0,0
27 Tabasco,Mujeres,65-69 años,"19,774",796,"1,306","2,257","3,748","1,916","1,804",564,"1,835","1,162",750,0,"3,636",0,0
27 Tabasco,Mujeres,70-74 años,"16,573",652,"1,103","1,974","3,141","1,666","1,564",441,"1,607",954,588,0,"2,883",0,0
27 Tabasco,Mujeres,75-79 años,"10,431",394,667,"1,161","2,013","1,039",963,275,977,577,359,0,"2,006",0,0
27 Tabasco,Mujeres,80-84 años,"6,165",226,414,676,"1,096",577,521,195,635,402,198,0,"1,225",0,0
27 Tabasco,Mujeres,85-89 años,"3,760",137,255,428,688,343,348,118,382,224,111,0,726,0,0
27 Tabasco,Mujeres,90-94 años,"1,394",43,90,146,257,120,132,51,130,89,53,0,283,0,0
27 Tabasco,Mujeres,95-99 años,708,28,52,104,136,73,50,15,61,44,31,0,114,0,0
27 Tabasco,Mujeres,100 años y más,301,14,24,50,73,34,21,13,26,10,7,0,29,0,0
27 Tabasco,Mujeres,No especificado,"12,463",70,109,367,821,617,"1,088",217,"1,315",787,702,0,"6,370",0,0
28 Tamaulipas,Total,Total,"3,268,554","139,001","93,462","75,440","91,042","56,016","64,454","79,314","49,662","48,918","239,970","315,830","1,425,979","589,466",0
28 Tamaulipas,Total,00-04 años,"302,937","11,978","8,899","7,298","8,578","5,027","6,174","7,939","4,584","4,984","22,832","26,894","128,091","59,659",0
28 Tamaulipas,Total,05-09 años,"305,122","12,389","9,037","7,422","8,891","5,380","6,329","7,717","4,620","4,828","22,845","27,641","132,971","55,052",0
28 Tamaulipas,Total,10-14 años,"294,469","12,985","9,046","7,478","8,699","5,593","6,183","7,840","4,940","4,853","22,361","26,355","129,471","48,665",0
28 Tamaulipas,Total,15-19 años,"291,682","12,560","8,903","7,205","8,549","5,240","6,107","7,763","4,791","4,498","22,219","26,634","130,561","46,652",0
28 Tamaulipas,Total,20-24 años,"275,453","9,984","7,086","5,747","7,118","4,156","5,112","6,784","4,193","4,011","19,831","27,236","120,747","53,448",0
28 Tamaulipas,Total,25-29 años,"258,116","8,668","6,086","5,028","6,572","3,822","4,610","5,729","3,910","3,811","18,504","26,497","111,045","53,834",0
28 Tamaulipas,Total,30-34 años,"255,313","9,313","6,556","5,374","6,900","3,900","4,747","5,532","3,666","3,762","18,478","25,527","110,785","50,773",0
28 Tamaulipas,Total,35-39 años,"250,586","8,946","6,214","5,083","6,672","3,900","4,615","5,422","3,770","3,619","18,300","25,301","113,674","45,070",0
28 Tamaulipas,Total,40-44 años,"213,736","8,099","5,384","4,632","5,818","3,649","3,966","5,033","3,203","3,052","15,998","22,349","98,051","34,502",0
28 Tamaulipas,Total,45-49 años,"177,182","7,457","4,869","3,913","4,936","3,165","3,537","4,306","3,005","2,665","13,859","19,897","79,661","25,912",0
28 Tamaulipas,Total,50-54 años,"147,748","7,017","4,343","3,362","4,149","2,668","3,017","3,808","2,332","2,360","11,642","16,791","66,624","19,635",0
28 Tamaulipas,Total,55-59 años,"109,317","6,161","3,616","2,806","3,118","2,046","2,331","2,867","1,688","1,688","8,544","12,440","48,546","13,466",0
28 Tamaulipas,Total,60-64 años,"89,766","5,713","3,275","2,411","2,622","1,843","2,014","2,364","1,448","1,447","6,975","9,728","39,044","10,882",0
28 Tamaulipas,Total,65-69 años,"66,138","5,039","2,777","2,152","2,347","1,540","1,611","1,857","1,142","1,066","5,083","6,644","27,250","7,630",0
28 Tamaulipas,Total,70-74 años,"53,619","4,626","2,601","2,003","1,953","1,332","1,498","1,645",934,896,"4,027","5,102","21,336","5,666",0
28 Tamaulipas,Total,75-79 años,"35,422","2,998","1,794","1,315","1,413",936,"1,014","1,048",595,553,"2,587","3,495","14,117","3,557",0
28 Tamaulipas,Total,80-84 años,"22,387","1,935","1,104",792,820,548,636,677,343,335,"1,647","2,314","9,100","2,136",0
28 Tamaulipas,Total,85-89 años,"12,078","1,176",630,488,456,294,376,387,186,187,890,"1,118","4,745","1,145",0
28 Tamaulipas,Total,90-94 años,"3,852",361,187,152,171,96,123,117,69,67,280,296,"1,564",369,0
28 Tamaulipas,Total,95-99 años,"1,427",144,81,64,61,48,41,50,30,10,84,126,547,141,0
28 Tamaulipas,Total,100 años y más,408,47,35,21,18,12,17,12,4,7,25,23,142,45,0
28 Tamaulipas,Total,No especificado,"101,796","1,405",939,694,"1,181",821,396,417,209,219,"2,959","3,422","37,907","51,227",0
28 Tamaulipas,Hombres,Total,"1,616,201","73,138","48,022","38,243","47,405","27,796","31,851","38,967","24,570","23,917","117,963","152,981","697,468","293,880",0
28 Tamaulipas,Hombres,00-04 años,"154,457","6,264","4,486","3,666","4,390","2,514","3,136","4,041","2,316","2,515","11,735","13,666","65,151","30,577",0
28 Tamaulipas,Hombres,05-09 años,"154,618","6,266","4,628","3,784","4,423","2,701","3,146","3,904","2,276","2,391","11,668","14,048","67,350","28,033",0
28 Tamaulipas,Hombres,10-14 años,"150,104","6,675","4,621","3,834","4,554","2,790","3,133","3,971","2,534","2,409","11,425","13,530","66,002","24,626",0
28 Tamaulipas,Hombres,15-19 años,"147,251","6,571","4,692","3,615","4,408","2,636","3,082","3,916","2,415","2,270","11,245","13,256","65,795","23,350",0
28 Tamaulipas,Hombres,20-24 años,"137,058","5,211","3,598","2,875","3,769","2,014","2,535","3,353","2,080","1,958","9,751","13,438","59,800","26,676",0
28 Tamaulipas,Hombres,25-29 años,"126,215","4,415","3,002","2,506","3,436","1,846","2,205","2,675","1,874","1,825","9,069","12,635","53,807","26,920",0
28 Tamaulipas,Hombres,30-34 años,"124,108","4,763","3,351","2,625","3,646","1,892","2,262","2,617","1,750","1,870","8,704","12,153","53,456","25,019",0
28 Tamaulipas,Hombres,35-39 años,"122,278","4,715","3,137","2,541","3,522","1,915","2,238","2,547","1,839","1,756","8,826","12,073","54,624","22,545",0
28 Tamaulipas,Hombres,40-44 años,"104,304","4,316","2,795","2,343","3,098","1,869","1,886","2,358","1,571","1,446","7,635","10,436","47,277","17,274",0
28 Tamaulipas,Hombres,45-49 años,"86,829","3,885","2,474","1,967","2,561","1,568","1,755","2,055","1,509","1,290","6,648","9,438","38,774","12,905",0
28 Tamaulipas,Hombres,50-54 años,"71,602","3,746","2,203","1,789","2,167","1,335","1,505","1,875","1,133","1,155","5,610","7,851","31,791","9,442",0
28 Tamaulipas,Hombres,55-59 años,"53,327","3,340","1,888","1,436","1,641",997,"1,141","1,411",891,820,"4,110","6,034","23,013","6,605",0
28 Tamaulipas,Hombres,60-64 años,"42,359","3,163","1,769","1,261","1,340",906,981,"1,146",709,663,"3,241","4,465","17,763","4,952",0
28 Tamaulipas,Hombres,65-69 años,"31,179","2,782","1,434","1,108","1,205",769,791,933,544,507,"2,355","3,006","12,217","3,528",0
28 Tamaulipas,Hombres,70-74 años,"25,167","2,598","1,386","1,037","1,015",645,752,828,449,421,"1,890","2,299","9,296","2,551",0
28 Tamaulipas,Hombres,75-79 años,"16,664","1,743",956,702,761,481,519,520,301,259,"1,250","1,470","6,061","1,641",0
28 Tamaulipas,Hombres,80-84 años,"10,054","1,088",616,423,437,267,293,334,157,144,755,931,"3,693",916,0
28 Tamaulipas,Hombres,85-89 años,"5,302",640,365,267,240,153,195,187,81,75,390,407,"1,828",474,0
28 Tamaulipas,Hombres,90-94 años,"1,589",171,99,80,87,49,72,60,26,26,115,99,558,147,0
28 Tamaulipas,Hombres,95-99 años,574,69,39,28,38,26,24,18,11,2,44,36,191,48,0
28 Tamaulipas,Hombres,100 años y más,169,21,14,11,10,8,8,7,1,5,9,6,54,15,0
28 Tamaulipas,Hombres,No especificado,"50,993",696,469,345,657,415,192,211,103,110,"1,488","1,704","18,967","25,636",0
28 Tamaulipas,Mujeres,Total,"1,652,353","65,863","45,440","37,197","43,637","28,220","32,603","40,347","25,092","25,001","122,007","162,849","728,511","295,586",0
28 Tamaulipas,Mujeres,00-04 años,"148,480","5,714","4,413","3,632","4,188","2,513","3,038","3,898","2,268","2,469","11,097","13,228","62,940","29,082",0
28 Tamaulipas,Mujeres,05-09 años,"150,504","6,123","4,409","3,638","4,468","2,679","3,183","3,813","2,344","2,437","11,177","13,593","65,621","27,019",0
28 Tamaulipas,Mujeres,10-14 años,"144,365","6,310","4,425","3,644","4,145","2,803","3,050","3,869","2,406","2,444","10,936","12,825","63,469","24,039",0
28 Tamaulipas,Mujeres,15-19 años,"144,431","5,989","4,211","3,590","4,141","2,604","3,025","3,847","2,376","2,228","10,974","13,378","64,766","23,302",0
28 Tamaulipas,Mujeres,20-24 años,"138,395","4,773","3,488","2,872","3,349","2,142","2,577","3,431","2,113","2,053","10,080","13,798","60,947","26,772",0
28 Tamaulipas,Mujeres,25-29 años,"131,901","4,253","3,084","2,522","3,136","1,976","2,405","3,054","2,036","1,986","9,435","13,862","57,238","26,914",0
28 Tamaulipas,Mujeres,30-34 años,"131,205","4,550","3,205","2,749","3,254","2,008","2,485","2,915","1,916","1,892","9,774","13,374","57,329","25,754",0
28 Tamaulipas,Mujeres,35-39 años,"128,308","4,231","3,077","2,542","3,150","1,985","2,377","2,875","1,931","1,863","9,474","13,228","59,050","22,525",0
28 Tamaulipas,Mujeres,40-44 años,"109,432","3,783","2,589","2,289","2,720","1,780","2,080","2,675","1,632","1,606","8,363","11,913","50,774","17,228",0
28 Tamaulipas,Mujeres,45-49 años,"90,353","3,572","2,395","1,946","2,375","1,597","1,782","2,251","1,496","1,375","7,211","10,459","40,887","13,007",0
28 Tamaulipas,Mujeres,50-54 años,"76,146","3,271","2,140","1,573","1,982","1,333","1,512","1,933","1,199","1,205","6,032","8,940","34,833","10,193",0
28 Tamaulipas,Mujeres,55-59 años,"55,990","2,821","1,728","1,370","1,477","1,049","1,190","1,456",797,868,"4,434","6,406","25,533","6,861",0
28 Tamaulipas,Mujeres,60-64 años,"47,407","2,550","1,506","1,150","1,282",937,"1,033","1,218",739,784,"3,734","5,263","21,281","5,930",0
28 Tamaulipas,Mujeres,65-69 años,"34,959","2,257","1,343","1,044","1,142",771,820,924,598,559,"2,728","3,638","15,033","4,102",0
28 Tamaulipas,Mujeres,70-74 años,"28,452","2,028","1,215",966,938,687,746,817,485,475,"2,137","2,803","12,040","3,115",0
28 Tamaulipas,Mujeres,75-79 años,"18,758","1,255",838,613,652,455,495,528,294,294,"1,337","2,025","8,056","1,916",0
28 Tamaulipas,Mujeres,80-84 años,"12,333",847,488,369,383,281,343,343,186,191,892,"1,383","5,407","1,220",0
28 Tamaulipas,Mujeres,85-89 años,"6,776",536,265,221,216,141,181,200,105,112,500,711,"2,917",671,0
28 Tamaulipas,Mujeres,90-94 años,"2,263",190,88,72,84,47,51,57,43,41,165,197,"1,006",222,0
28 Tamaulipas,Mujeres,95-99 años,853,75,42,36,23,22,17,32,19,8,40,90,356,93,0
28 Tamaulipas,Mujeres,100 años y más,239,26,21,10,8,4,9,5,3,2,16,17,88,30,0
28 Tamaulipas,Mujeres,No especificado,"50,803",709,470,349,524,406,204,206,106,109,"1,471","1,718","18,940","25,591",0
29 Tlaxcala,Total,Total,"1,169,936","20,969","19,066","50,789","144,872","190,111","228,299","113,506","121,062","169,265","111,997",0,0,0,0
29 Tlaxcala,Total,00-04 años,"116,073","2,368","2,036","5,236","14,574","18,705","22,618","11,184","12,071","15,380","11,901",0,0,0,0
29 Tlaxcala,Total,05-09 años,"123,330","2,376","2,101","5,689","15,571","19,963","24,071","11,642","12,439","16,602","12,876",0,0,0,0
29 Tlaxcala,Total,10-14 años,"118,634","2,297","2,009","5,361","14,831","19,180","23,165","11,198","12,107","16,510","11,976",0,0,0,0
29 Tlaxcala,Total,15-19 años,"119,172","2,353","2,062","5,399","15,111","19,464","22,985","11,314","12,301","16,777","11,406",0,0,0,0
29 Tlaxcala,Total,20-24 años,"104,781","1,738","1,644","4,569","12,808","16,937","20,455","10,028","11,115","15,247","10,240",0,0,0,0
29 Tlaxcala,Total,25-29 años,"93,720","1,494","1,442","3,878","11,288","14,767","18,485","9,050","9,959","13,744","9,613",0,0,0,0
29 Tlaxcala,Total,30-34 años,"90,612","1,440","1,377","3,863","11,212","14,414","17,904","8,834","9,394","13,136","9,038",0,0,0,0
29 Tlaxcala,Total,35-39 años,"84,560","1,318","1,229","3,531","10,121","13,582","16,925","8,392","8,758","12,648","8,056",0,0,0,0
29 Tlaxcala,Total,40-44 años,"71,030","1,148","1,061","2,872","8,400","11,537","14,083","7,023","7,539","10,702","6,665",0,0,0,0
29 Tlaxcala,Total,45-49 años,"58,822",894,886,"2,342","6,952","9,436","11,571","5,877","6,471","9,194","5,199",0,0,0,0
29 Tlaxcala,Total,50-54 años,"49,362",779,728,"1,932","5,796","7,926","9,382","5,051","5,315","8,036","4,417",0,0,0,0
29 Tlaxcala,Total,55-59 años,"36,171",617,582,"1,424","4,394","5,970","6,888","3,662","3,672","5,951","3,011",0,0,0,0
29 Tlaxcala,Total,60-64 años,"28,530",517,463,"1,110","3,578","4,785","5,427","2,845","2,866","4,620","2,319",0,0,0,0
29 Tlaxcala,Total,65-69 años,"21,997",450,413,945,"2,884","3,951","4,146","2,244","1,934","3,315","1,715",0,0,0,0
29 Tlaxcala,Total,70-74 años,"17,497",392,324,829,"2,367","3,038","3,357","1,779","1,551","2,620","1,240",0,0,0,0
29 Tlaxcala,Total,75-79 años,"13,009",288,307,631,"1,791","2,332","2,451","1,298","1,198","1,736",977,0,0,0,0
29 Tlaxcala,Total,80-84 años,"8,741",177,184,414,"1,171","1,617","1,702",819,831,"1,260",566,0,0,0,0
29 Tlaxcala,Total,85-89 años,"5,477",81,124,275,742,"1,115","1,068",535,442,752,343,0,0,0,0
29 Tlaxcala,Total,90-94 años,"1,997",34,35,106,284,407,399,200,170,259,103,0,0,0,0
29 Tlaxcala,Total,95-99 años,794,18,15,42,116,150,157,88,58,98,52,0,0,0,0
29 Tlaxcala,Total,100 años y más,187,6,5,8,41,37,35,14,9,23,9,0,0,0,0
29 Tlaxcala,Total,No especificado,"5,440",184,39,333,840,798,"1,025",429,862,655,275,0,0,0,0
29 Tlaxcala,Hombres,Total,"565,775","10,615","9,361","25,150","70,474","92,292","110,445","54,635","57,857","80,541","54,405",0,0,0,0
29 Tlaxcala,Hombres,00-04 años,"58,980","1,190","1,025","2,642","7,413","9,555","11,568","5,673","6,005","7,837","6,072",0,0,0,0
29 Tlaxcala,Hombres,05-09 años,"62,673","1,216","1,094","3,016","7,819","10,122","12,324","5,931","6,266","8,353","6,532",0,0,0,0
29 Tlaxcala,Hombres,10-14 años,"59,970","1,207","1,001","2,764","7,597","9,617","11,654","5,702","6,049","8,331","6,048",0,0,0,0
29 Tlaxcala,Hombres,15-19 años,"59,831","1,218","1,048","2,730","7,582","9,886","11,462","5,669","6,110","8,454","5,672",0,0,0,0
29 Tlaxcala,Hombres,20-24 años,"50,406",860,792,"2,266","6,168","8,150","9,816","4,825","5,241","7,333","4,955",0,0,0,0
29 Tlaxcala,Hombres,25-29 años,"43,235",696,641,"1,791","5,155","6,880","8,506","4,146","4,620","6,332","4,468",0,0,0,0
29 Tlaxcala,Hombres,30-34 años,"41,672",699,644,"1,788","5,200","6,596","8,332","4,070","4,215","5,911","4,217",0,0,0,0
29 Tlaxcala,Hombres,35-39 años,"39,297",622,582,"1,661","4,749","6,283","7,883","3,921","4,087","5,698","3,811",0,0,0,0
29 Tlaxcala,Hombres,40-44 años,"33,139",566,524,"1,358","3,967","5,390","6,569","3,194","3,501","4,861","3,209",0,0,0,0
29 Tlaxcala,Hombres,45-49 años,"27,512",460,423,"1,118","3,306","4,470","5,401","2,785","2,987","4,155","2,407",0,0,0,0
29 Tlaxcala,Hombres,50-54 años,"23,079",375,357,955,"2,758","3,745","4,425","2,325","2,443","3,628","2,068",0,0,0,0
29 Tlaxcala,Hombres,55-59 años,"17,210",324,288,717,"2,146","2,787","3,271","1,718","1,738","2,746","1,475",0,0,0,0
29 Tlaxcala,Hombres,60-64 años,"13,597",287,213,542,"1,706","2,318","2,602","1,347","1,362","2,155","1,065",0,0,0,0
29 Tlaxcala,Hombres,65-69 años,"10,353",255,206,483,"1,366","1,934","1,903","1,031",879,"1,502",794,0,0,0,0
29 Tlaxcala,Hombres,70-74 años,"8,197",214,176,423,"1,175","1,474","1,538",802,704,"1,148",543,0,0,0,0
29 Tlaxcala,Hombres,75-79 años,"6,108",168,151,315,840,"1,135","1,147",569,557,789,437,0,0,0,0
29 Tlaxcala,Hombres,80-84 años,"4,056",94,96,224,577,761,762,372,375,530,265,0,0,0,0
29 Tlaxcala,Hombres,85-89 años,"2,493",39,62,128,346,541,502,220,189,306,160,0,0,0,0
29 Tlaxcala,Hombres,90-94 años,880,22,16,48,128,177,167,88,80,107,47,0,0,0,0
29 Tlaxcala,Hombres,95-99 años,318,8,2,18,41,64,77,30,24,33,21,0,0,0,0
29 Tlaxcala,Hombres,100 años y más,75,1,2,5,16,16,17,4,2,7,5,0,0,0,0
29 Tlaxcala,Hombres,No especificado,"2,694",94,18,158,419,391,519,213,423,325,134,0,0,0,0
29 Tlaxcala,Mujeres,Total,"604,161","10,354","9,705","25,639","74,398","97,819","117,854","58,871","63,205","88,724","57,592",0,0,0,0
29 Tlaxcala,Mujeres,00-04 años,"57,093","1,178","1,011","2,594","7,161","9,150","11,050","5,511","6,066","7,543","5,829",0,0,0,0
29 Tlaxcala,Mujeres,05-09 años,"60,657","1,160","1,007","2,673","7,752","9,841","11,747","5,711","6,173","8,249","6,344",0,0,0,0
29 Tlaxcala,Mujeres,10-14 años,"58,664","1,090","1,008","2,597","7,234","9,563","11,511","5,496","6,058","8,179","5,928",0,0,0,0
29 Tlaxcala,Mujeres,15-19 años,"59,341","1,135","1,014","2,669","7,529","9,578","11,523","5,645","6,191","8,323","5,734",0,0,0,0
29 Tlaxcala,Mujeres,20-24 años,"54,375",878,852,"2,303","6,640","8,787","10,639","5,203","5,874","7,914","5,285",0,0,0,0
29 Tlaxcala,Mujeres,25-29 años,"50,485",798,801,"2,087","6,133","7,887","9,979","4,904","5,339","7,412","5,145",0,0,0,0
29 Tlaxcala,Mujeres,30-34 años,"48,940",741,733,"2,075","6,012","7,818","9,572","4,764","5,179","7,225","4,821",0,0,0,0
29 Tlaxcala,Mujeres,35-39 años,"45,263",696,647,"1,870","5,372","7,299","9,042","4,471","4,671","6,950","4,245",0,0,0,0
29 Tlaxcala,Mujeres,40-44 años,"37,891",582,537,"1,514","4,433","6,147","7,514","3,829","4,038","5,841","3,456",0,0,0,0
29 Tlaxcala,Mujeres,45-49 años,"31,310",434,463,"1,224","3,646","4,966","6,170","3,092","3,484","5,039","2,792",0,0,0,0
29 Tlaxcala,Mujeres,50-54 años,"26,283",404,371,977,"3,038","4,181","4,957","2,726","2,872","4,408","2,349",0,0,0,0
29 Tlaxcala,Mujeres,55-59 años,"18,961",293,294,707,"2,248","3,183","3,617","1,944","1,934","3,205","1,536",0,0,0,0
29 Tlaxcala,Mujeres,60-64 años,"14,933",230,250,568,"1,872","2,467","2,825","1,498","1,504","2,465","1,254",0,0,0,0
29 Tlaxcala,Mujeres,65-69 años,"11,644",195,207,462,"1,518","2,017","2,243","1,213","1,055","1,813",921,0,0,0,0
29 Tlaxcala,Mujeres,70-74 años,"9,300",178,148,406,"1,192","1,564","1,819",977,847,"1,472",697,0,0,0,0
29 Tlaxcala,Mujeres,75-79 años,"6,901",120,156,316,951,"1,197","1,304",729,641,947,540,0,0,0,0
29 Tlaxcala,Mujeres,80-84 años,"4,685",83,88,190,594,856,940,447,456,730,301,0,0,0,0
29 Tlaxcala,Mujeres,85-89 años,"2,984",42,62,147,396,574,566,315,253,446,183,0,0,0,0
29 Tlaxcala,Mujeres,90-94 años,"1,117",12,19,58,156,230,232,112,90,152,56,0,0,0,0
29 Tlaxcala,Mujeres,95-99 años,476,10,13,24,75,86,80,58,34,65,31,0,0,0,0
29 Tlaxcala,Mujeres,100 años y más,112,5,3,3,25,21,18,10,7,16,4,0,0,0,0
29 Tlaxcala,Mujeres,No especificado,"2,746",90,21,175,421,407,506,216,439,330,141,0,0,0,0
30 Veracruz de Ignacio de la Llave,Total,Total,"7,643,194","670,899","688,502","798,900","817,759","555,201","530,797","372,335","546,273","523,238","364,694","921,518","853,078",0,0
30 Veracruz de Ignacio de la Llave,Total,00-04 años,"662,288","62,161","65,646","75,735","75,939","51,998","47,821","34,684","46,098","44,879","29,806","67,756","59,765",0,0
30 Veracruz de Ignacio de la Llave,Total,05-09 años,"728,767","70,585","75,418","85,950","85,320","56,226","51,071","36,177","49,493","48,111","32,025","72,682","65,709",0,0
30 Veracruz de Ignacio de la Llave,Total,10-14 años,"741,526","74,404","79,552","89,012","87,544","56,158","51,703","35,756","49,191","48,767","31,754","72,322","65,363",0,0
30 Veracruz de Ignacio de la Llave,Total,15-19 años,"759,388","72,915","76,302","87,006","86,361","56,524","53,444","36,838","51,784","50,378","33,861","79,404","74,571",0,0
30 Veracruz de Ignacio de la Llave,Total,20-24 años,"642,093","51,665","53,803","63,099","67,291","47,396","46,242","33,018","46,987","45,006","31,135","80,045","76,406",0,0
